ObjectID,GlobalID,Seating,Shelter,ETA Screen,Curb,Stop ID (NextBus),headway,Route_All,Route_1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Route 8,Route 9,Notes,Seating #,Route Map,Island?,Signage,any_signage,Signage_Comb,half,x,y,best_signage
2458,c2e13f8f-0a7d-4f71-a345-36e475ed53be,yes,yes,yes_working,clear,15610,10_min,"14, 14-r, 14-x",14,14,14,,,,,,,,4,yes,no,"shelter_marking,metal_sign",yes,shelter_marking,South,-122.4356942,37.72335396,0 metal_sign
2459,e90b961a-cfd1-4d97-94db-d46bdc7c2216,no,no,no,clear,15912,10_20_min,29,29,,,,,,,,,,,no,no,metal_sign,yes,metal_sign,South,-122.4358032,37.72310402,0 metal_sign
2460,c16d062b-a5cb-4b74-ba75-53f4538c4c1c,no,no,no,clear,15913,10_20_min,29,29,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4357103,37.72292134,3 paint_on_metal_pole
2461,3a9a1783-5fae-46ee-bf0d-b1e3aec41512,no,no,no,clear,15919,10_20_min,29,29,,,,,,,,,,,no,no,paint_on_pavement,yes,paint_on_pavement,South,-122.4346564,37.72241031,4 paint_on_pavement
2462,8b960d11-663e-4825-999e-cc8251016006,no,no,no,parking_obstructed,15918,10_20_min,29,29,,,,,,,,,,,no,no,"paint_on_metal_pole,paint_on_pavement",yes,combination,South,-122.4342478,37.72236865,3 paint_on_metal_pole
2463,b776ff5f-e028-4ac0-a4fd-36bc878806eb,no,no,no,clear,13766,20_30_min,52,52,,,,,,,,,,,no,no,paint_on_pavement,yes,paint_on_pavement,South,-122.4331204,37.72393785,4 paint_on_pavement
2464,55b2e076-0dbd-4f6b-9dc8-8ba2eabb27fa,no,no,no,parking_obstructed,13760,20_30_min,52,52,,,,,,,,,,,no,no,"paint_on_metal_pole,paint_on_pavement",yes,combination,South,-122.4314891,37.72317299,3 paint_on_metal_pole
2465,41596b64-b30d-4668-a600-188c110723f5,no,no,no,parking_obstructed,15911,10_20_min,29,29,,,,,,,,,,,no,no,"paint_on_metal_pole,paint_on_pavement",yes,combination,South,-122.4329667,37.72163171,3 paint_on_metal_pole
2466,5c3bd416-342e-471d-bd95-4213c685de7c,no,no,no,clear,15910,10_20_min,29,29,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4326077,37.72163193,3 paint_on_metal_pole
2467,87655206-8b12-4d7d-a183-41112981cb49,no,no,no,parking_obstructed,15917,10_20_min,29,29,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4313783,37.72087183,3 paint_on_metal_pole
2468,e20e6e60-402e-4fc3-9615-5f943d1c1c0e,no,no,no,parking_obstructed,,10_20_min,29,29,,,,,,,,,,,no,no,paint_on_telephone_pole,yes,paint_on_telephone_pole,South,-122.4310515,37.72085743,2 paint_on_telephone_pole
2469,f6039f97-3fe3-42f5-a56c-a384f123dfca,no,no,no,parking_obstructed,15476,20_30_min,52,52,,,,,,,,,,,no,no,"paint_on_metal_pole,paint_on_pavement",yes,combination,South,-122.430056,37.72253664,3 paint_on_metal_pole
2470,0cd03cd1-44af-4797-ad43-565b9c484290,yes,yes,yes_working,parking_obstructed,13765,20_30_min,52,52,,,,,,,,,,2,yes,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4298788,37.72241198,3 paint_on_metal_pole
2471,1fcec80d-5d84-4061-9127-1b9cd598505e,no,no,no,parking_obstructed,13769,20_30_min,52,52,,,,,,,,,,,no,no,"paint_on_telephone_pole,paint_on_pavement",yes,combination,South,-122.428585,37.72165531,2 paint_on_telephone_pole
2472,b24fb632-68d8-4947-adea-72d1bd0f5c68,no,no,no,parking_obstructed,13758,20_30_min,52,52,,,,,,,,,,,no,no,"paint_on_metal_pole,paint_on_pavement",yes,combination,South,-122.428257,37.72163142,3 paint_on_metal_pole
2473,060af02e-3127-42af-aa7a-c9718e3a8bea,no,no,no,parking_obstructed,,10_20_min,29,29,,,,,,,,,,,no,no,paint_on_telephone_pole,yes,paint_on_telephone_pole,South,-122.429784,37.72008022,2 paint_on_telephone_pole
2474,3d1f3164-c014-44f8-a0a9-8402bf574447,no,no,no,parking_obstructed,15907,10_20_min,29,29,,,,,,,,,,,no,no,paint_on_metal_pole,yes,paint_on_metal_pole,South,-122.4294617,37.72008462,3 paint_on_metal_pole
