13056,Balboa St & 30th Ave,31,BALBOA,Masonic + Turk,18758,05:05:35,22:41:00,0,0,0,0,0,1,0
13056,Balboa St & 30th Ave,31,BALBOA,Masonic + Turk,18758,05:05:35,22:41:00,0,0,0,0,0,0,1
13057,Balboa St & 32nd Ave,31,BALBOA,Ocean Beach,18758,04:44:19,22:29:19,1,1,1,1,1,0,0
13057,Balboa St & 32nd Ave,31,BALBOA,Ocean Beach,18758,04:44:19,22:29:42,0,0,0,0,0,1,0
13057,Balboa St & 32nd Ave,31,BALBOA,Ocean Beach,18758,04:44:19,22:29:42,0,0,0,0,0,0,1
13058,Balboa St & 32nd Ave,31,BALBOA,Masonic + Turk,18758,05:05:27,22:40:04,1,1,1,1,1,0,0
13058,Balboa St & 32nd Ave,31,BALBOA,Masonic + Turk,18758,05:05:04,22:40:27,0,0,0,0,0,1,0
13058,Balboa St & 32nd Ave,31,BALBOA,Masonic + Turk,18758,05:05:04,22:40:27,0,0,0,0,0,0,1
13059,Balboa St & 34th Ave,18,46TH AVENUE,33rd Ave + Geary,18152,06:34:59,22:22:11,1,1,1,1,1,0,0
13059,Balboa St & 34th Ave,18,46TH AVENUE,33rd Ave + Geary,18152,06:34:59,22:22:11,0,0,0,0,0,1,0
13059,Balboa St & 34th Ave,18,46TH AVENUE,33rd Ave + Geary,18152,06:34:59,22:22:11,0,0,0,0,0,0,1
13059,Balboa St & 34th Ave,31,BALBOA,Masonic + Turk,18758,05:04:54,22:39:33,1,1,1,1,1,0,0
13059,Balboa St & 34th Ave,31,BALBOA,Masonic + Turk,18758,05:04:33,22:39:54,0,0,0,0,0,1,0
13059,Balboa St & 34th Ave,31,BALBOA,Masonic + Turk,18758,05:04:33,22:39:54,0,0,0,0,0,0,1
13060,Balboa St & 35th Ave,18,46TH AVENUE,Stonestown,18152,06:03:50,22:04:50,1,1,1,1,1,0,0
13060,Balboa St & 35th Ave,18,46TH AVENUE,Stonestown,18152,06:03:50,22:04:50,0,0,0,0,0,1,0
13060,Balboa St & 35th Ave,18,46TH AVENUE,Stonestown,18152,06:03:50,22:04:50,0,0,0,0,0,0,1
13060,Balboa St & 35th Ave,31,BALBOA,Ocean Beach,18758,04:45:03,22:30:03,1,1,1,1,1,0,0
13060,Balboa St & 35th Ave,31,BALBOA,Ocean Beach,18758,04:45:03,22:30:22,0,0,0,0,0,1,0
13060,Balboa St & 35th Ave,31,BALBOA,Ocean Beach,18758,04:45:03,22:30:22,0,0,0,0,0,0,1
13061,Balboa St & 37th Ave,18,46TH AVENUE,Stonestown,18152,06:04:34,22:05:34,1,1,1,1,1,0,0
13061,Balboa St & 37th Ave,18,46TH AVENUE,Stonestown,18152,06:04:34,22:05:34,0,0,0,0,0,1,0
13061,Balboa St & 37th Ave,18,46TH AVENUE,Stonestown,18152,06:04:34,22:05:34,0,0,0,0,0,0,1
13061,Balboa St & 37th Ave,31,BALBOA,Ocean Beach,18758,04:45:45,22:30:45,1,1,1,1,1,0,0
13061,Balboa St & 37th Ave,31,BALBOA,Ocean Beach,18758,04:45:45,22:31:00,0,0,0,0,0,1,0
13061,Balboa St & 37th Ave,31,BALBOA,Ocean Beach,18758,04:45:45,22:31:00,0,0,0,0,0,0,1
13062,Balboa St & 37th Ave,18,46TH AVENUE,33rd Ave + Geary,18152,06:33:55,22:21:16,1,1,1,1,1,0,0
