stop_code,BS_ID,STOP_NAME,STOP_LAT,STOP_LONG,max_ons,log_max_ons
13266,3266,15th Ave&Taraval St SE-NS/PS,37.74312,-122.4713,13,10..20
13267,3267,15th Ave&Taraval St SW-FS/PS,37.74307,-122.47141,41,20..50
13281,3281,16th St&Bryant St N-MB/BZ,37.76566,-122.41029,207,200..500
13282,3282,16th St&Bryant St SE-FS/BZ,37.7656,-122.41041,25,20..50
13283,3283,16th St&Church St NE-NS/BZ,37.76458,-122.42852,21,20..50
13284,3284,16th St&Dolores St NE-NS/PS,37.76473,-122.42616,39,20..50
13285,3285,16th St&Dolores St SW-NS/PS,37.76458,-122.42658,46,20..50
13286,3286,16th St&Guerrero St NE-NS/BZ,37.76485,-122.42396,48,20..50
13287,3287,16th St&Guerrero St SW-NS/BZ,37.76472,-122.42426,21,20..50
13288,3288,16th St&Harrison St NE-NS/BZ,37.76552,-122.41298,74,50..100
13289,3289,16th St&Harrison St SW-NS/BZ,37.76538,-122.41329,16,10..20
13291,3291,16th St&Mission St NE-NS/BZ,37.76515,-122.41961,797,500..1000
13292,3292,16th St&Mission St SE-FS/BZ,37.76502,-122.41928,45,20..50
13293,3293,16th St&Mission St SW-NS/BZ,37.76498,-122.41984,567,500..1000
13295,3295,16th St&Potrero Ave NW-FS/BZ,37.7658,-122.40762,335,200..500
13296,3296,16th St&Potrero Ave SW-NS/BZ,37.76576,-122.40761,71,50..100
13297,3297,16th St&San Bruno Ave SE-FS/BZ,37.76586,-122.40552,8,5..10
13299,3299,16th St&Shotwell St SE-FS/BZ,37.76522,-122.41605,58,50..100
13300,3300,16th St&Valencia St NE-NS/BZ,37.76499,-122.42175,177,100..200
13301,3301,16th St&Valencia St SW-NS/BZ,37.76485,-122.42206,68,50..100
13302,3302,16th St&Vermont St NW-FS/BZ,37.76604,-122.40469,43,20..50
13307,3307,17th St&Belvedere St NE-NS/PS,37.76176,-122.44768,,
13309,3309,17th St&Clayton St NE-NS/PS,37.76185,-122.4467,,
13310,3310,17th St&Cole St NE-NS/PS,37.76168,-122.44898,,
